+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |    ['ROIALIGN', 'FLATTEN', 'LINEAR', 'CONVTRANSPOSE2D', |    ['ROIALIGN', 'FLATTEN', 'LINEAR', 'CONVTRANSPOSE2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                   'RELU', 'CONV2D', 'LASTLEVELMAXPOOL'] |                   'RELU', 'CONV2D', 'LASTLEVELMAXPOOL'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
|   resnet50   | 100.000 |  100.000 | 100.000 |  97.030 |   99.994 |  99.994 |   0.312 |    1.000 |   0.500 |   0.182 |    1.000 |   0.357 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |    ['ADAPTIVEAVGPOOL2D', 'LINEAR', 'MAXPOOL2D', 'RELU', |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                               'CONV2D'] |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
| mobilenetv2  | 100.000 |  100.000 | 100.000 |  10.946 |  100.000 |  99.799 |   0.188 |    1.000 |   0.300 |   0.091 |    1.000 |   0.143 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |                           ['CONV2D', 'RELU6', 'LINEAR'] |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                                         |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
|    swint     | 100.000 |  100.000 | 100.000 |  96.224 |   99.428 |  99.542 |   0.375 |    1.000 |   0.600 |   0.364 |    1.000 |   0.429 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |      ['ADAPTIVEAVGPOOL2D', 'PERMUTE', 'CONV2D', 'GELU', |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                    'LINEAR', 'FLATTEN'] |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
