+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 369  |   138    |      sigmoid      |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 372  |   139    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 381  |   140    |       conv2d      |   (7, 7)   |   (7, 7)   |         192         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 383  |   141    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 386  |   142    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         1152         |    (5, 5)   | (1, 1) |  (2, 2) |  1152  |   1   |
| 388  |   143    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 391  |   144    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 392  |   145    |       conv2d      |   (1, 1)   |   (1, 1)   |         1152        |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 393  |   146    |       conv2d      |   (1, 1)   |   (1, 1)   |          48         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 394  |   147    |        silu       |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 395  |   148    |      sigmoid      |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 398  |   149    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 409  |   150    |       conv2d      |   (7, 7)   |   (7, 7)   |         192         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 411  |   151    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 414  |   152    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         1152         |    (3, 3)   | (1, 1) |  (1, 1) |  1152  |   1   |
| 416  |   153    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 419  |   154    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 420  |   155    |       conv2d      |   (1, 1)   |   (1, 1)   |         1152        |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 421  |   156    |       conv2d      |   (1, 1)   |   (1, 1)   |          48         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 422  |   157    |        silu       |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 423  |   158    |      sigmoid      |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 426  |   159    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         320          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 434  |   160    |       conv2d      |   (7, 7)   |   (7, 7)   |         320         |         1280         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 436  |   161    |        silu       |   (7, 7)   |   (7, 7)   |         1280        |         1280         |      -      |   -    |    -    |   1    |   1   |
| 439  |   162    | adaptiveavgpool2d |   (7, 7)   |   (7, 7)   |         1280        |         1280         |      -      |   -    |    -    |   1    |   1   |
| 442  |   163    |       linear      |   (1, 1)   |   (1, 1)   |         1280        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
