+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 234  |   100    |    relu    |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 236  |   101    |   conv2d   |   (1, 1)   |   (1, 1)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 238  |   102    |    relu    |   (1, 1)   |   (1, 1)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 251  |   103    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 252  |   104    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 253  |   105    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 254  |   106    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 257  |   107    |    relu    |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 258  |   108    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         2048         |      -      |   -    |    -    |   1    |   6   |
| 259  |   109    |   linear   |   (1, 1)   |   (1, 1)   |         2048        |         256          |      -      |   -    |    -    |   1    |   6   |
| 268  |   110    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 269  |   111    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 270  |   112    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 271  |   113    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 273  |   114    |    relu    |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 276  |   115    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 277  |   116    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 278  |   117    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 279  |   118    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         256          |      -      |   -    |    -    |   1    |   6   |
| 282  |   119    |   linear   |   (1, 1)   |   (1, 1)   |         256         |         2048         |      -      |   -    |    -    |   1    |   6   |
| 283  |   120    |   linear   |   (1, 1)   |   (1, 1)   |         2048        |         256          |      -      |   -    |    -    |   1    |   6   |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
