+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |    layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 439  |   128    |     roialign     |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 440  |   129    |     roialign     |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 441  |   130    |     roialign     |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 447  |   131    |       relu       |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 451  |   132    |       relu       |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 455  |   133    |       relu       |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 459  |   134    |       relu       |  (14, 14)  |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
| 461  |   135    | convtranspose2d  |  (14, 14)  |   (7, 7)   |         256         |         256          |    (2, 2)   | (2, 2) |  (0, 0) |   1    |   1   |
| 462  |   136    |       relu       |   (7, 7)   |   (7, 7)   |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 463  |   137    |      conv2d      |   (7, 7)   |   (7, 7)   |         256         |          9           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
