+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 221  |   107    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 222  |   108    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 226  |   109    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 227  |   110    |   conv2d   |  (14, 14)  |  (14, 14)  |         480         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 229  |   111    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 230  |   112    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 234  |   113    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 235  |   114    |   conv2d   |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 237  |   115    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 238  |   116    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 242  |   117    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 243  |   118    |   conv2d   |  (14, 14)  |  (14, 14)  |         544         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 245  |   119    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 246  |   120    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 250  |   121    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 251  |   122    |   conv2d   |  (14, 14)  |  (14, 14)  |         576         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 253  |   123    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 254  |   124    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 258  |   125    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 259  |   126    |   conv2d   |  (14, 14)  |  (14, 14)  |         608         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 261  |   127    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 262  |   128    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 266  |   129    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 267  |   130    |   conv2d   |  (14, 14)  |  (14, 14)  |         640         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 269  |   131    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 270  |   132    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 274  |   133    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 275  |   134    |   conv2d   |  (14, 14)  |  (14, 14)  |         672         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 277  |   135    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 278  |   136    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 282  |   137    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 283  |   138    |   conv2d   |  (14, 14)  |  (14, 14)  |         704         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 285  |   139    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 286  |   140    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 290  |   141    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 291  |   142    |   conv2d   |  (14, 14)  |  (14, 14)  |         736         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 293  |   143    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 294  |   144    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 298  |   145    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 299  |   146    |   conv2d   |  (14, 14)  |  (14, 14)  |         768         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
